# LAMMPS data file written by OVITO Basic 3.7.5
4992 atoms
4 atom types
0.0 52.686 xlo xhi
0.0 52.686 ylo yhi
0.0 52.686 zlo zhi
0 0 0 xy xz yz

Masses

1 15.9994  # O
2 63.546  # Cu
3 12.0107  # C
4 1.00794  # H

Atoms  # charge

1 1 0.0 8.3401938 6.4039833 24.9678954
2 1 0.0 8.3401938 19.5754833 11.7963954
3 1 0.0 21.5116938 6.4039833 11.7963954
4 1 0.0 21.5116938 19.5754833 24.9678954
5 1 0.0 18.0028062 19.9390167 24.9678954
6 1 0.0 18.0028062 6.7675167 11.7963954
7 1 0.0 4.8313062 19.9390167 11.7963954
8 1 0.0 4.8313062 6.7675167 24.9678954
9 1 0.0 18.0028062 6.4039833 1.3751046
10 1 0.0 18.0028062 19.5754833 14.5466046
11 1 0.0 4.8313062 6.4039833 14.5466046
12 1 0.0 4.8313062 19.5754833 1.3751046
13 1 0.0 8.3401938 19.9390167 1.3751046
14 1 0.0 8.3401938 6.7675167 14.5466046
15 1 0.0 21.5116938 19.9390167 14.5466046
16 1 0.0 21.5116938 6.7675167 1.3751046
17 1 0.0 24.9678954 8.3401938 6.4039833
18 1 0.0 24.9678954 21.5116938 19.5754833
19 1 0.0 11.7963954 8.3401938 19.5754833
20 1 0.0 11.7963954 21.5116938 6.4039833
21 1 0.0 24.9678954 18.0028062 19.9390167
22 1 0.0 24.9678954 4.8313062 6.7675167
23 1 0.0 11.7963954 18.0028062 6.7675167
24 1 0.0 11.7963954 4.8313062 19.9390167
25 1 0.0 1.3751046 18.0028062 6.4039833
26 1 0.0 1.3751046 4.8313062 19.5754833
27 1 0.0 14.5466046 18.0028062 19.5754833
28 1 0.0 14.5466046 4.8313062 6.4039833
29 1 0.0 1.3751046 8.3401938 19.9390167
30 1 0.0 1.3751046 21.5116938 6.7675167
31 1 0.0 14.5466046 8.3401938 6.7675167
32 1 0.0 14.5466046 21.5116938 19.9390167
33 1 0.0 6.4039833 24.9678954 8.3401938
34 1 0.0 6.4039833 11.7963954 21.5116938
35 1 0.0 19.5754833 24.9678954 21.5116938
36 1 0.0 19.5754833 11.7963954 8.3401938
37 1 0.0 19.9390167 24.9678954 18.0028062
38 1 0.0 19.9390167 11.7963954 4.8313062
39 1 0.0 6.7675167 24.9678954 4.8313062
40 1 0.0 6.7675167 11.7963954 18.0028062
41 1 0.0 6.4039833 1.3751046 18.0028062
42 1 0.0 6.4039833 14.5466046 4.8313062
43 1 0.0 19.5754833 1.3751046 4.8313062
44 1 0.0 19.5754833 14.5466046 18.0028062
45 1 0.0 19.9390167 1.3751046 8.3401938
46 1 0.0 19.9390167 14.5466046 21.5116938
47 1 0.0 6.7675167 1.3751046 21.5116938
48 1 0.0 6.7675167 14.5466046 8.3401938
49 1 0.0 6.4039833 8.3401938 1.3751046
50 1 0.0 6.4039833 21.5116938 14.5466046
51 1 0.0 19.5754833 8.3401938 14.5466046
52 1 0.0 19.5754833 21.5116938 1.3751046
53 1 0.0 19.9390167 18.0028062 1.3751046
54 1 0.0 19.9390167 4.8313062 14.5466046
55 1 0.0 6.7675167 18.0028062 14.5466046
56 1 0.0 6.7675167 4.8313062 1.3751046
57 1 0.0 6.4039833 18.0028062 24.9678954
58 1 0.0 6.4039833 4.8313062 11.7963954
59 1 0.0 19.5754833 18.0028062 11.7963954
60 1 0.0 19.5754833 4.8313062 24.9678954
61 1 0.0 19.9390167 8.3401938 24.9678954
62 1 0.0 19.9390167 21.5116938 11.7963954
63 1 0.0 6.7675167 8.3401938 11.7963954
64 1 0.0 6.7675167 21.5116938 24.9678954
65 1 0.0 8.3401938 24.9678954 19.9390167
66 1 0.0 8.3401938 11.7963954 6.7675167
67 1 0.0 21.5116938 24.9678954 6.7675167
68 1 0.0 21.5116938 11.7963954 19.9390167
69 1 0.0 18.0028062 24.9678954 6.4039833
70 1 0.0 18.0028062 11.7963954 19.5754833
71 1 0.0 4.8313062 24.9678954 19.5754833
72 1 0.0 4.8313062 11.7963954 6.4039833
73 1 0.0 18.0028062 1.3751046 19.9390167
74 1 0.0 18.0028062 14.5466046 6.7675167
75 1 0.0 4.8313062 1.3751046 6.7675167
76 1 0.0 4.8313062 14.5466046 19.9390167
77 1 0.0 8.3401938 1.3751046 6.4039833
78 1 0.0 8.3401938 14.5466046 19.5754833
79 1 0.0 21.5116938 1.3751046 19.5754833
80 1 0.0 21.5116938 14.5466046 6.4039833
81 1 0.0 24.9678954 6.4039833 18.0028062
82 1 0.0 24.9678954 19.5754833 4.8313062
83 1 0.0 11.7963954 6.4039833 4.8313062
84 1 0.0 11.7963954 19.5754833 18.0028062
85 1 0.0 24.9678954 19.9390167 8.3401938
86 1 0.0 24.9678954 6.7675167 21.5116938
87 1 0.0 11.7963954 19.9390167 21.5116938
88 1 0.0 11.7963954 6.7675167 8.3401938
89 1 0.0 1.3751046 6.4039833 8.3401938
