# LAMMPS data file written by OVITO Basic 3.7.5
4850 atoms
4 atom types
0.0 52.686 xlo xhi
0.0 52.686 ylo yhi
0.0 52.686 zlo zhi
0 0 0 xy xz yz

Masses

1 63.546  # Cu
2 1.00794  # H
3 12.0107  # C
4 15.9994  # O

Atoms  # charge

1 1 0.0 7.5156579 7.5156579 0.0
2 1 0.0 7.5156579 20.6871579 13.1715
3 1 0.0 20.6871579 7.5156579 13.1715
4 1 0.0 20.6871579 20.6871579 0.0
5 1 0.0 18.8273421 18.8273421 0.0
6 1 0.0 18.8273421 5.6558421 13.1715
7 1 0.0 5.6558421 18.8273421 13.1715
8 1 0.0 5.6558421 5.6558421 0.0
9 1 0.0 18.8273421 7.5156579 0.0
10 1 0.0 18.8273421 20.6871579 13.1715
11 1 0.0 5.6558421 7.5156579 13.1715
12 1 0.0 7.5156579 18.8273421 0.0
13 1 0.0 7.5156579 5.6558421 13.1715
14 1 0.0 20.6871579 18.8273421 13.1715
15 1 0.0 20.6871579 5.6558421 0.0
16 1 0.0 0.0 7.5156579 7.5156579
17 1 0.0 0.0 20.6871579 20.6871579
18 1 0.0 13.1715 7.5156579 20.6871579
19 1 0.0 13.1715 20.6871579 7.5156579
20 1 0.0 0.0 18.8273421 18.8273421
21 1 0.0 0.0 5.6558421 5.6558421
22 1 0.0 13.1715 18.8273421 5.6558421
23 1 0.0 13.1715 5.6558421 18.8273421
24 1 0.0 0.0 18.8273421 7.5156579
25 1 0.0 0.0 5.6558421 20.6871579
26 1 0.0 13.1715 18.8273421 20.6871579
27 1 0.0 13.1715 5.6558421 7.5156579
28 1 0.0 0.0 7.5156579 18.8273421
29 1 0.0 0.0 20.6871579 5.6558421
30 1 0.0 13.1715 7.5156579 5.6558421
31 1 0.0 13.1715 20.6871579 18.8273421
32 1 0.0 7.5156579 0.0 7.5156579
33 1 0.0 7.5156579 13.1715 20.6871579
34 1 0.0 20.6871579 0.0 20.6871579
35 1 0.0 20.6871579 13.1715 7.5156579
36 1 0.0 18.8273421 0.0 18.8273421
37 1 0.0 18.8273421 13.1715 5.6558421
38 1 0.0 5.6558421 0.0 5.6558421
39 1 0.0 5.6558421 13.1715 18.8273421
40 1 0.0 7.5156579 13.1715 5.6558421
41 1 0.0 20.6871579 0.0 5.6558421
42 1 0.0 20.6871579 13.1715 18.8273421
43 1 0.0 18.8273421 0.0 7.5156579
44 1 0.0 18.8273421 13.1715 20.6871579
45 1 0.0 5.6558421 13.1715 7.5156579
46 1 0.0 33.8586579 7.5156579 0.0
47 1 0.0 33.8586579 20.6871579 13.1715
48 1 0.0 47.0301579 7.5156579 13.1715
49 1 0.0 47.0301579 20.6871579 0.0
50 1 0.0 45.1703421 18.8273421 0.0
51 1 0.0 45.1703421 5.6558421 13.1715
52 1 0.0 31.9988421 18.8273421 13.1715
53 1 0.0 31.9988421 5.6558421 0.0
54 1 0.0 45.1703421 7.5156579 0.0
55 1 0.0 45.1703421 20.6871579 13.1715
56 1 0.0 31.9988421 7.5156579 13.1715
57 1 0.0 31.9988421 20.6871579 0.0
58 1 0.0 33.8586579 18.8273421 0.0
59 1 0.0 33.8586579 5.6558421 13.1715
60 1 0.0 47.0301579 18.8273421 13.1715
61 1 0.0 47.0301579 5.6558421 0.0
62 1 0.0 26.343 7.5156579 7.5156579
63 1 0.0 26.343 20.6871579 20.6871579
64 1 0.0 39.5145 7.5156579 20.6871579
65 1 0.0 39.5145 20.6871579 7.5156579
66 1 0.0 26.343 18.8273421 18.8273421
67 1 0.0 26.343 5.6558421 5.6558421
68 1 0.0 39.5145 18.8273421 5.6558421
69 1 0.0 39.5145 5.6558421 18.8273421
70 1 0.0 26.343 18.8273421 7.5156579
71 1 0.0 26.343 5.6558421 20.6871579
72 1 0.0 39.5145 5.6558421 7.5156579
73 1 0.0 26.343 7.5156579 18.8273421
74 1 0.0 26.343 20.6871579 5.6558421
75 1 0.0 39.5145 7.5156579 5.6558421
76 1 0.0 33.8586579 0.0 7.5156579
77 1 0.0 33.8586579 13.1715 20.6871579
78 1 0.0 47.0301579 0.0 20.6871579
79 1 0.0 47.0301579 13.1715 7.5156579
80 1 0.0 45.1703421 0.0 18.8273421
81 1 0.0 45.1703421 13.1715 5.6558421
82 1 0.0 31.9988421 0.0 5.6558421
83 1 0.0 31.9988421 13.1715 18.8273421
84 1 0.0 33.8586579 0.0 18.8273421
85 1 0.0 33.8586579 13.1715 5.6558421
86 1 0.0 47.0301579 0.0 5.6558421
87 1 0.0 47.0301579 13.1715 18.8273421
88 1 0.0 45.1703421 0.0 7.5156579
89 1 0.0 45.1703421 13.1715 20.6871579
90 1 0.0 31.9988421 0.0 20.6871579
91 1 0.0 31.9988421 13.1715 7.5156579
92 1 0.0 7.5156579 33.8586579 0.0
93 1 0.0 7.5156579 47.0301579 13.1715
94 1 0.0 20.6871579 33.8586579 13.1715
95 1 0.0 20.6871579 47.0301579 0.0
